ZIP,Date,Datatype,Value,Station
07307,2019-02-05T00:00:00,TMIN,44.0,GHCND:USW00094728
07307,2019-02-06T00:00:00,PRCP,0.45,GHCND:USW00094728
07307,2019-02-06T00:00:00,TMAX,46.0,GHCND:USW00094728
07307,2019-02-06T00:00:00,TMIN,35.0,GHCND:USW00094728
07307,2019-02-07T00:00:00,PRCP,0.07,GHCND:USW00094728
07307,2019-02-07T00:00:00,TMAX,44.0,GHCND:USW00094728
07307,2019-02-07T00:00:00,TMIN,39.0,GHCND:USW00094728
07307,2019-02-08T00:00:00,PRCP,0.37,GHCND:USW00094728
07307,2019-02-08T00:00:00,TMAX,55.0,GHCND:USW00094728
07307,2019-02-08T00:00:00,TMIN,32.0,GHCND:USW00094728
07307,2019-02-09T00:00:00,PRCP,0.0,GHCND:USW00094728
07307,2019-02-09T00:00:00,TMAX,32.0,GHCND:USW00094728
07307,2019-02-09T00:00:00,TMIN,23.0,GHCND:USW00094728
07307,2019-02-10T00:00:00,PRCP,0.0,GHCND:USW00094728
07307,2019-02-10T00:00:00,TMAX,35.0,GHCND:USW00094728
07307,2019-02-10T00:00:00,TMIN,23.0,GHCND:USW00094728
07307,2019-02-11T00:00:00,PRCP,0.0,GHCND:USW00094728
07307,2019-02-11T00:00:00,TMAX,38.0,GHCND:USW00094728
07307,2019-02-11T00:00:00,TMIN,30.0,GHCND:USW00094728
07307,2019-02-12T00:00:00,PRCP,0.75,GHCND:USW00094728
07307,2019-02-12T00:00:00,TMAX,36.0,GHCND:USW00094728
07307,2019-02-12T00:00:00,TMIN,26.0,GHCND:USW00094728
07307,2019-02-13T00:00:00,PRCP,0.08,GHCND:USW00094728
07307,2019-02-13T00:00:00,TMAX,41.0,GHCND:USW00094728
07307,2019-02-13T00:00:00,TMIN,33.0,GHCND:USW00094728
07307,2019-02-14T00:00:00,PRCP,0.0,GHCND:USW00094728
07307,2019-02-14T00:00:00,TMAX,46.0,GHCND:USW00094728
07307,2019-02-14T00:00:00,TMIN,33.0,GHCND:USW00094728
07307,2019-02-15T00:00:00,PRCP,0.0,GHCND:USW00094728
07307,2019-02-15T00:00:00,TMAX,59.0,GHCND:USW00094728
07307,2019-02-15T00:00:00,TMIN,42.0,GHCND:USW00094728
07307,2019-02-16T00:00:00,PRCP,0.0,GHCND:USW00094728
07307,2019-02-16T00:00:00,TMAX,47.0,GHCND:USW00094728
07307,2019-02-16T00:00:00,TMIN,32.0,GHCND:USW00094728
07307,2019-02-17T00:00:00,PRCP,0.04,GHCND:USW00094728
07307,2019-02-17T00:00:00,TMAX,38.0,GHCND:USW00094728
07307,2019-02-17T00:00:00,TMIN,26.0,GHCND:USW00094728
07307,2019-02-18T00:00:00,PRCP,0.09,GHCND:USW00094728
07307,2019-02-18T00:00:00,TMAX,42.0,GHCND:USW00094728
07307,2019-02-18T00:00:00,TMIN,26.0,GHCND:USW00094728
07307,2019-02-19T00:00:00,PRCP,0.0,GHCND:USW00094728
07307,2019-02-19T00:00:00,TMAX,36.0,GHCND:USW00094728
07307,2019-02-19T00:00:00,TMIN,23.0,GHCND:USW00094728
07307,2019-02-20T00:00:00,PRCP,0.57,GHCND:USW00094728
07307,2019-02-20T00:00:00,TMAX,33.0,GHCND:USW00094728
07307,2019-02-20T00:00:00,TMIN,26.0,GHCND:USW00094728
07307,2019-02-21T00:00:00,PRCP,0.1,GHCND:USW00094728
07307,2019-02-21T00:00:00,TMAX,52.0,GHCND:USW00094728
07307,2019-02-21T00:00:00,TMIN,33.0,GHCND:USW00094728
07307,2019-02-22T00:00:00,PRCP,0.0,GHCND:USW00094728
07307,2019-02-22T00:00:00,TMAX,44.0,GHCND:USW00094728
07307,2019-02-22T00:00:00,TMIN,36.0,GHCND:USW00094728
07307,2019-02-23T00:00:00,PRCP,0.01,GHCND:USW00094728
07307,2019-02-23T00:00:00,TMAX,42.0,GHCND:USW00094728
07307,2019-02-23T00:00:00,TMIN,32.0,GHCND:USW00094728
07307,2019-02-24T00:00:00,PRCP,0.58,GHCND:USW00094728
07307,2019-02-24T00:00:00,TMAX,47.0,GHCND:USW00094728
07307,2019-02-24T00:00:00,TMIN,36.0,GHCND:USW00094728
07307,2019-02-25T00:00:00,PRCP,0.0,GHCND:USW00094728
07307,2019-02-25T00:00:00,TMAX,43.0,GHCND:USW00094728
07307,2019-02-25T00:00:00,TMIN,28.0,GHCND:USW00094728
07307,2019-02-26T00:00:00,PRCP,0.0,GHCND:USW00094728
07307,2019-02-26T00:00:00,TMAX,36.0,GHCND:USW00094728
07307,2019-02-26T00:00:00,TMIN,25.0,GHCND:USW00094728
07307,2019-02-27T00:00:00,PRCP,0.0,GHCND:USW00094728
07307,2019-02-27T00:00:00,TMAX,31.0,GHCND:USW00094728
07307,2019-02-27T00:00:00,TMIN,23.0,GHCND:USW00094728
07307,2019-02-28T00:00:00,PRCP,0.03,GHCND:USW00094728
07307,2019-02-28T00:00:00,TMAX,37.0,GHCND:USW00094728
07307,2019-02-28T00:00:00,TMIN,27.0,GHCND:USW00094728
07307,2019-03-01T00:00:00,PRCP,0.11,GHCND:USW00094728
07307,2019-03-01T00:00:00,TMAX,35.0,GHCND:USW00094728
07307,2019-03-01T00:00:00,TMIN,26.0,GHCND:USW00094728
07307,2019-03-02T00:00:00,PRCP,0.53,GHCND:USW00094728
07307,2019-03-02T00:00:00,TMAX,41.0,GHCND:USW00094728
07307,2019-03-02T00:00:00,TMIN,31.0,GHCND:USW00094728
07307,2019-03-03T00:00:00,PRCP,0.52,GHCND:USW00094728
07307,2019-03-03T00:00:00,TMAX,42.0,GHCND:USW00094728
07307,2019-03-03T00:00:00,TMIN,33.0,GHCND:USW00094728
07307,2019-03-04T00:00:00,PRCP,0.29,GHCND:USW00094728
07307,2019-03-04T00:00:00,TMAX,38.0,GHCND:USW00094728
07307,2019-03-04T00:00:00,TMIN,28.0,GHCND:USW00094728
07307,2019-03-05T00:00:00,PRCP,0.0,GHCND:USW00094728
07307,2019-03-05T00:00:00,TMAX,32.0,GHCND:USW00094728
07307,2019-03-05T00:00:00,TMIN,20.0,GHCND:USW00094728
07307,2019-03-06T00:00:00,PRCP,0.0,GHCND:USW00094728
07307,2019-03-06T00:00:00,TMAX,26.0,GHCND:USW00094728
07307,2019-03-06T00:00:00,TMIN,19.0,GHCND:USW00094728
07307,2019-03-07T00:00:00,PRCP,0.0,GHCND:USW00094728
07307,2019-03-07T00:00:00,TMAX,32.0,GHCND:USW00094728
07307,2019-03-07T00:00:00,TMIN,18.0,GHCND:USW00094728
