zipcode,latitude,longitude,zipcode
69147,41.325785,-102.04839,69147
69157,42.059744,-100.238124,69157
56260,44.9096955,-95.4600351,56260
69221,42.594777,-100.29986,69221
69363,41.8664472,-103.5963297,69363
56221,45.5619479,-96.1720115,56221
43001,40.0849101,-82.6048843,43001
43025,39.953201,-82.4897854,43025
56209,45.1293169,-94.8040197,56209
69132,40.780965,-101.014902,69132
43026,40.0165833,-83.1530463,43026
43110,39.8355286,-82.8019595,43110
43119,39.944436,-83.20178,43119
55021,44.3007717,-93.2910531,55021
43150,39.7731676,-82.4174017,43150
43220,40.0511199,-83.0628413,43220
52751,41.8148989,-90.6583752,52751
43331,40.5010333,-83.8997349,43331
52358,41.6751075,-91.3022131,52358
43356,40.4557544,-83.0321012,43356
43360,40.3229514,-83.6500204,43360
52040,42.4854798,-91.1224833,52040
43406,41.3301573,-83.4430907,43406
55965,43.672214,-92.0831457,55965
52031,42.2570783,-90.4489261,52031
68763,42.4887454,-98.6112499,68763
68977,40.1179386,-99.5837511,68977
50621,42.2332197,-92.8816142,50621
68418,40.7017498,-96.3794597,68418
50554,42.8405882,-94.8059438,50554
68429,40.0395264,-97.447727,68429
50106,41.8837432,-92.8108486,50106
68506,40.7827317,-96.6432941,68506
68528,40.8253104,-96.7657167,68528
47167,38.6017043,-86.0880011,47167
68531,40.8966504,-96.7125036,68531
61873,40.1296734,-88.0411474,61873
68724,42.608756,-97.8780279,68724
68785,42.4160752,-96.7141922,68785
69040,40.3549333,-101.1182027,69040
61740,40.8644829,-88.8240876,61740
61550,40.6138963,-89.4616101,61550
68855,41.221444,-99.302618,68855
60460,40.9987606,-88.5319477,60460
68871,41.124881,-98.830789,68871
44883,41.1175853,-83.1812037,44883
68879,41.8664324,-99.4252434,68879
69001,40.2037434,-100.6248066,69001
68952,40.1017579,-98.664587,68952
68974,40.140547,-97.8641899,68974
68876,40.7754367,-98.7472378,68876
68975,40.60718,-97.945059,68975
68813,41.7538411,-99.7612404,68813
68816,41.184599,-98.130214,68816
43413,41.2258835,-83.6615996,43413
43464,41.4081811,-82.9120792,43464
51245,43.0648238,-95.5796122,51245
44643,40.6444845,-81.317174,44643
44656,40.5650748,-81.3384499,44656
61325,41.2299017,-88.8362361,61325
44839,41.3909073,-82.5610439,44839
61061,42.0140956,-89.3322389,61061
44841,41.2389541,-83.2919554,44841
61028,42.3073497,-90.18717,61028
44842,40.6341195,-82.2282845,44842
60911,40.8743613,-87.9482243,60911
44843,40.7293771,-82.3947684,44843
43351,40.8256861,-83.2890147,43351
44846,41.3027624,-82.604951,44846
61726,40.741412,-88.7153877,61726
69143,41.1571912,-101.0002937,69143
44887,40.8985746,-82.7879262,44887
68873,41.2139921,-98.4578426,68873
45042,39.5291019,-84.3839976,45042
45106,38.9487492,-84.0953064,45106
68841,40.7743518,-98.1534293,68841
45122,39.2221272,-84.128697,45122
45148,39.283902,-83.9008567,45148
68376,40.1707238,-95.9493038,68376
45176,39.045086,-84.0453678,45176
68341,40.3872818,-96.9277187,68341
45324,,,45324
56218,44.7177807,-95.9645444,56218
44878,40.9276812,-82.5171846,44878
44632,40.9543029,-81.3297572,44632
44629,40.3605044,-81.4337581,44629
61880,39.9791899,-88.2659304,61880
43504,41.6746207,-83.8485886,43504
43540,41.6959379,-83.9581476,43540
51237,43.3265983,-96.000289,51237
43548,41.1886414,-84.1715321,43548
50845,40.8474686,-94.3213552,50845
43566,41.5065408,-83.7444865,43566
50662,42.6785638,-91.9179725,50662
43756,39.6653603,-81.8299716,43756
43767,39.9878426,-81.7995509,43767
50628,43.259012,-92.4151934,50628
43840,40.3892879,-81.612858,43840
43844,40.3303677,-82.0321411,43844
50475,42.8623019,-93.205215,50475
44235,41.026726,-82.1014209,44235
50447,42.8906877,-93.7963221,50447
44254,41.0400259,-82.0102975,44254
44270,40.9744152,-81.7750362,44270
50430,42.9740979,-93.9081048,50430
44408,40.9061958,-80.6840511,44408
50076,41.5892149,-94.8761632,50076
44428,41.4279532,-80.5825555,44428
44444,41.1831612,-80.9795178,44444
62837,38.3803681,-88.3655988,62837
44450,41.4577929,-80.8631195,44450
62298,38.3301305,-90.1479021,62298
44615,40.5573557,-81.0902227,44615
44625,40.7519374,-81.0098493,44625
50635,42.1728897,-92.6926082,50635
62889,38.4533209,-88.8468316,62889
62244,38.1926119,-90.2006347,62244
62242,38.0889842,-89.9326299,62242
62877,38.3801867,-89.1931152,62877
51347,43.4206775,-95.2983581,51347
62892,38.7907453,-89.0683273,62892
62894,38.2199895,-89.0438116,62894
50676,42.7933127,-92.2774918,50676
62908,37.3105185,-88.858705,62908
50629,42.6312026,-92.0659528,50629
62932,37.9043091,-89.2291707,62932
62938,37.3886409,-88.5172689,62938
50539,43.2337795,-94.3997172,50539
62943,37.3527732,-88.7542025,62943
47648,38.2468737,-87.5748949,47648
51454,41.8978854,-95.2042928,51454
62977,37.8380054,-88.5319241,62977
62983,37.8899462,-89.1098118,62983
46506,41.4503325,-86.1603352,46506
46032,39.9614047,-86.1587379,46032
46075,39.9805582,-86.3557753,46075
46383,41.4894689,-87.0385969,46383
46077,39.9611366,-86.2804809,46077
46036,40.2811637,-85.8403438,46036
46115,39.733152,-85.5785147,46115
62858,38.8002212,-88.4948637,62858
46133,39.5962454,-85.308089,46133
46166,39.4281145,-86.5759084,46166
62557,39.3925404,-89.0831196,62557
47553,38.6818046,-86.9148968,47553
46307,41.442657,-87.3776931,46307
62865,37.9758237,-89.0843973,62865
62831,38.2304455,-89.2169746,62831
62232,38.6352366,-90.0137997,62232
62234,38.682284,-89.9884696,62234
56280,44.6656234,-96.1275173,56280
62254,38.6098291,-89.8239233,62254
56111,43.6528379,-94.9112,56111
62272,38.0012048,-89.6159768,62272
62344,40.179798,-90.825186,62344
56057,44.404427,-93.7258785,56057
62349,40.1605713,-91.2212909,62349
56025,43.7627675,-93.8967848,56025
62357,39.697691,-90.853441,62357
62370,39.523127,-90.975395,62370
51461,42.1531466,-95.4394874,51461
55927,44.0217175,-92.8582736,55927
55314,44.7471168,-94.6017957,55314
62434,38.8644612,-88.3116945,62434
62478,39.1806419,-87.7487386,62478
52637,40.9704356,-91.1520717,52637
62543,39.9532025,-89.1628874,62543
62666,40.0889165,-89.5494169,62666
52347,41.6942824,-92.2815543,52347
62812,37.9984727,-88.9170216,62812
51639,40.7206834,-95.4791388,51639
62814,38.3436771,-88.7390011,62814
62815,38.453734,-87.996099,62815
51577,41.4651314,-95.210729,51577
62380,40.2408889,-91.1966725,62380
56308,45.8847726,-95.3808582,56308
46540,41.6761051,-85.758318,46540
46553,41.4887365,-85.8455786,46553
47516,38.7621831,-87.4126395,47516
60918,40.5996078,-88.0289402,60918
47537,38.0976002,-87.048352,47537
47564,38.4683408,-87.0964475,47564
60560,41.6531149,-88.4355864,60560
47568,38.794247,-87.138781,47568
60115,41.9313768,-88.7570276,60115
47611,38.0283162,-87.0426856,47611
45828,40.4775349,-84.6615345,45828
47637,38.1157969,-87.1337597,47637
47832,39.8327407,-87.2502353,47832
45368,39.8447009,-83.6611102,45368
47460,39.2826348,-86.756338,47460
47854,39.8131025,-87.4011439,47854
47968,39.9357826,-86.7003211,47968
47991,40.2707466,-87.3987793,47991
68958,40.493179,-99.504678,68958
50005,42.1161371,-93.0064816,50005
68662,41.1709333,-97.4310614,68662
50067,40.7420833,-93.83238,50067
50104,41.4738543,-92.3658766,50104
68660,41.5699857,-97.8549634,68660
50133,40.706784,-94.05936,50133
68626,41.1750638,-97.0015602,68626
50136,41.4546169,-92.2529304,50136
68465,40.4783873,-96.9674921,68465
43545,41.3865063,-84.1272085,43545
62439,38.7257974,-87.6856412,62439
61006,41.8520764,-89.2092117,61006
61042,41.6729983,-89.5744895,61042
46619,41.66802,-86.3228065,46619
62341,40.4136663,-91.3304539,62341
46705,41.5210363,-85.0741022,46705
62264,38.3210386,-89.8946621,62264
46710,41.3531955,-85.2502183,46710
62246,38.8904397,-89.4127223,62246
46738,41.3370732,-85.1358738,46738
46763,41.2900812,-85.2047643,46763
62230,38.6272907,-89.5298006,62230
46902,40.4492687,-86.131245,46902
62044,39.3407149,-90.2005489,62044
46926,40.867123,-86.0434921,46926
47421,38.8636357,-86.4958361,47421
46988,40.8752948,-86.2416936,46988
47031,39.1272699,-85.1406989,47031
61517,40.8195167,-89.8486385,61517
47115,38.3435006,-86.2229633,47115
47117,38.1195035,-85.977572,47117
61483,41.0873861,-89.8428129,61483
47138,38.6775146,-85.6193411,47138
47223,39.0578555,-85.4853145,47223
61078,42.1540851,-89.7370957,61078
47250,38.7818768,-85.3818163,47250
61062,42.2782207,-89.8408254,61062
47273,39.0284217,-85.7335776,47273
47373,40.343787,-85.1607328,47373
61953,39.7897327,-88.2842023,61953
62217,38.17806,-89.8447182,62217
56381,45.5766513,-95.5235852,56381
62036,38.8748441,-90.5714041,62036
46392,41.1802245,-87.0696052,46392
43511,41.2573079,-83.8259197,43511
